id,type,title,text,year,city,country,lat,lon,part_name,part_uuid,part_type,part_role,source_dois,team_name,org_uuid,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
igem_part_BBa_25Q40W6U,part,Level 0 entry vector pICH41308-mrfp1-/\lacO RFC1000/MoClo compatible,"This vector served as additional level 0 entry vector for CDS parts.

pICH41308-mrfp1-/\lacO Level 0 vector containing a mRFP1DlacO cassette (no inducer, such as IPTG, needed), with BsaI and SapI recognition sites. Upon successful cloning in the future, the mRFP1ΔlacO cassette would be replaced by the target insert, resulting in white clones on the plate, while clones carrying the parent vector still show red colourization.

The system states that the plasmid is not RFC1000 compatible, however this is due to the fact that its annotated as an entry vector, which requires two SapI restriction sites to insert parts into the vector.&#x20;",2025,Mainz,DE,49.9995205,8.2736253,BBa_25Q40W6U,e00a3567-f0ca-463d-9a26-2b53ac138ce5,Plasmid,Plasmid,,JGU-Mainz,508e5f43-eab0-425b-981b-b8845882c934,,,False,0.0,igem_registry_api
igem_part_BBa_25W5M84A,part,Recombinase template,A recombinase template used in our texture patterning of E. coli.,2025,Singapore,SG,1.357107,103.8194992,BBa_25W5M84A,4b541068-c606-4dc7-b5e8-3c7cacac394f,Coding,Coding,,NUS-Singapore,cb9cb1bd-3ca2-40b5-993b-13793685678f,,,False,0.0,igem_registry_api
igem_part_BBa_25RRNXSB,part,"Level 1 entry vector pICH47742-mRFP1ΔlacO, RFC1000/MoClo compatible","This vector served as additional level 1 entry vector for the RFC1000 framework.

MoClo Level 1 vector with a pICH47742 backbone (AmpR) and a *mRFP1*Δ*lac*O cassette (red fluorescent protein cassette lacking *lac*O, deleted via QuikChange(R) mutagenesis, therefore no inducer is needed).&#x20;

The system states that the plasmid is not RFC1000 compatible, however this is due to the fact that its annotated as an entry vector, which requires two SapI restriction sites to insert parts into the vector.&#x20;",2025,Mainz,DE,49.9995205,8.2736253,BBa_25RRNXSB,caf298af-ff70-4008-9b48-f9297891b9e5,Plasmid,Plasmid,,JGU-Mainz,508e5f43-eab0-425b-981b-b8845882c934,,,False,0.0,igem_registry_api
igem_part_BBa_25VACU0F,part,Level 1 entry vector pBSMuL1 (pLIMO1) RFC1000/MoClo compatible ,"This pBSMuL1-like MoClo level 1 vector (only containing *ori E. coli*, *repB*, *amp*R, *kan*R, *mRFP1*Δ*lac*O cassette) can be used to assemble transcription units in the RFC1000 framework for a multi-copy overexpression strategy in B. subtilis.

pBSMuL1 is a *E. coli* – *B. subtilis* shuttle vector for protein overproduction harbouring *amp*R, *kan*R, and BsaI recognition sites with an additional *mRFP1*ΔlacO cassette (see pBS2EΔ*lac*O; no need for inducers, such as IPTG, red colourization of *E. coli* cells harbouring this vector).

The system states that the plasmid is not RFC1000 compatible, however this is due to the fact that its annotated as an entry vector, which requires two SapI restriction sites to insert parts into the vector.&#x20;",2025,Mainz,DE,49.9995205,8.2736253,BBa_25VACU0F,0985e6bb-c1a9-4464-8546-1644ab4dfc03,Plasmid,Plasmid,,JGU-Mainz,508e5f43-eab0-425b-981b-b8845882c934,,,False,0.0,igem_registry_api
igem_part_BBa_25EZ8HV0,part,Level 0 entry vector pBSMuL1 MoClo/RFC1000 compatible,"This pBSMuL1-like level 0 vector with a *mRFP1*Δ*lac*O cassette for selection is an additional CDS entry vector for the RFC1000 framework with the possibility to directly overexpress the inserted CDS: pBSMuL1 is a *E. coli* – *B. subtilis* shuttle vector for protein overproduction and secretion harbouring ampR, kanR, PhpaII (constitutive promoter), sslipA (secretion signal peptide) and SapI/BsaI recognition sites, with an additional mRFP1ΔlacO cassette (see pBS2EΔ*lac*O; no need for inducers, such as IPTG, red colourization of *E. coli* cells harbouring this vector.

The system states that the plasmid is not RFC1000 compatible, however this is due to the fact that its annotated as an entry vector, which requires two SapI restriction sites to insert parts into the vector.&#x20;",2025,Mainz,DE,49.9995205,8.2736253,BBa_25EZ8HV0,f35f3dbe-ea61-4d38-9cae-cb51765f4a48,Plasmid,Plasmid,,JGU-Mainz,508e5f43-eab0-425b-981b-b8845882c934,,,False,0.0,igem_registry_api
igem_part_BBa_255DIYN6,part,T5 promoter-RBS-bcsCD-lambda t0 terminator,"This device carries the *bcs*C and *bcs*D genes from the bacterial cellulose synthase operon, which collectively facilitate cellulose export and structural organization. BcsC forms a secretion channel for glucan chains, while BcsD aids in the arrangement and crystallization of cellulose microfibrils; together, they support the proper assembly of bacterial cellulose.",2025,Nanjing,CN,32.0438284,118.7788631,BBa_255DIYN6,58bbaaab-88f5-4cba-8bfd-a9f55626107f,Device,Device,,NAU-CHINA,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81,,,False,0.0,igem_registry_api
igem_part_BBa_252QAUN3,part,lacI promoter-LacI-T7 promoter-RBS-YF1-FixJ-Fixk2-GFP-T7 terminator,"This composite part is designed as a basic blue light-regulated system.It encodes the LacI repressor and drives GFP expression from the Fixk2 promoter. The system is expected to be weakly activated in the dark by the phosphorylated FixJ protein. However, in the absence of a dedicated operator for LacI to bind, the LacI repressor does not contribute to light-dependent regulation. Consequently, the system relies solely on the YF1/FixJ module for blue light response, which is expected to result in a limited dynamic range between blue light and dark conditions.",2025,Nanjing,CN,32.0438284,118.7788631,BBa_252QAUN3,fc31b0a3-9759-4ed6-9169-4280f15ec341,Device,Device,,NAU-CHINA,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81,,,False,0.0,igem_registry_api
igem_part_BBa_25KBLKIT,part,T5 promoter-RBS-bcsAB-lambda t0 terminator,"This device carries the bcsA and bcsB genes from the bcs operon. Co-expression of these two genes enables the formation of the BcsAB complex, where BcsA, as the catalytic subunit, polymerizes UDP-glucose into β-1,4-glucan chains, while BcsB contributes to stabilizing BcsA and facilitating transmembrane transport of glucans, thus providing the core functional unit required to initiate bacterial cellulose synthesis.",2025,Nanjing,CN,32.0438284,118.7788631,BBa_25KBLKIT,6ab9ec3d-e85c-4e20-b2f9-f4f535ffae22,Device,Device,,NAU-CHINA,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81,,,False,0.0,igem_registry_api
igem_part_BBa_25BLFNE8,part,Codon-optimized opd (Parathion hydrolase) for Snodgrassella alvi,Codon-optimized opd (parathion hydrolase) with a C-terminal FLAG tag for expression and detection in Snodgrassella alvi. Enables degradation of organophosphate pesticides such as parathion and methyl parathion.,2025,Chicago,US,41.8755616,-87.6244212,BBa_25BLFNE8,5c5d155a-d00b-4d69-aa42-a9eba7d893ec,Coding,Coding,,IITChicago,34c41403-7d38-4fb8-9d02-b324f11e0caa,,,False,0.0,igem_registry_api
igem_part_BBa_25SYBTV0,part,lacI promoter-OptoLacI(D)-T7 promoter-RBS-YF1-FixJ-Fixk2-LacO3-GFP-T7 terminator,"This composite part is designed to function as a dual-layer, blue light-regulated system. It encodes the photoswitchable repressor OptoLacI(D), which binds to the downstream LacO3 operator site under blue light to block transcription of the *gfp* reporter gene. In darkness, OptoLacI(D) releases LacO3, allowing expression to be activated by the FixJ/FixK2 pathway. This dual regulatory mechanism, combining transcriptional activation and direct repression, is designed to significantly enhance the system's dynamic range by ensuring high expression in darkness.",2025,Nanjing,CN,32.0438284,118.7788631,BBa_25SYBTV0,0dd8a1ed-02c6-4613-90d0-0c66dd31307f,Device,Device,,NAU-CHINA,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81,,,False,0.0,igem_registry_api
