id,geo_city,country,weight,rep_patent,lat,lon
6i2s4x136v4g956531a703w6j162x464ikj3h,"Newton, MA",US,0.16666666666666666,US9227917,42.3300435,-71.194862
3q171n6d103s622h6c6o2r6h3z18rj4x4h3149,"Glendale, OH",US,1.0,US9440195,39.2721982,-84.458416
6d5n1q584c1e401b471pu6a5v5enu534o2z45,Minato-ku,JP,0.6666666666666666,US9440907,35.6580089,139.7515137
6d5n1q584c1e401b471pu6a5v5enu534o2z45,Nagoya-shi,JP,0.3333333333333333,US9440907,35.1851045,136.8998438
3u24301q22492f1z5t61456l396lis144p142w,Seoul,KR,1.0,US9441230,37.5666791,126.9782914
3p591n2z2m6i31732a3d3t6p47275p436b153l5,"Tirmulgherry, Secunderabad",IN,0.125,US9441250,,
3p591n2z2m6i31732a3d3t6p47275p436b153l5,"Palo Alto, CA",US,0.25,US9441250,37.4443293,-122.1598465
3p591n2z2m6i31732a3d3t6p47275p436b153l5,"Wilmington, DE",US,0.375,US9441250,39.7459468,-75.546589
3p591n2z2m6i31732a3d3t6p47275p436b153l5,"Newark, DE",US,0.125,US9441250,39.6828358,-75.7515682
3p591n2z2m6i31732a3d3t6p47275p436b153l5,"Ridley Park, PA",US,0.125,US9441250,39.8812236,-75.3237993
48676ge393k453o44416p366x5k4znk245s2p,"Houston, TX",US,1.0,US9441253,29.7589382,-95.3676974
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Cambridge, MA",US,0.3,US9011834,42.3656347,-71.1040018
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Arlington, MA",US,0.1,US9011834,42.4153739,-71.1564428
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Brooklyn, NY",US,0.1,US9011834,40.6526006,-73.9497211
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Boston, MA",US,0.3,US9011834,42.3588336,-71.0578303
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Somerville, MA",US,0.1,US9011834,42.3875968,-71.0994968
355t2s4l2n5t534v2e3752w14364w5n665q5g3,"Brookline, MA",US,0.1,US9011834,42.332918,-71.1187829
3f3d4m1u4h640k6x625m1x4b6s174r4l6f2k5c,"New York, NY",US,0.5,US9453060,40.7127281,-74.0060152
3f3d4m1u4h640k6x625m1x4b6s174r4l6f2k5c,"Ozone Park, NY",US,0.25,US9453060,40.67677,-73.8437461
3f3d4m1u4h640k6x625m1x4b6s174r4l6f2k5c,"Brooklyn, NY",US,0.25,US9453060,40.6526006,-73.9497211
6o32a14f4j1u5b105r4t81e3k2y2f2k4j5i34,Mouscron,BE,0.3333333333333333,US9453244,50.7436672,3.2142729
6o32a14f4j1u5b105r4t81e3k2y2f2k4j5i34,Nozay,FR,0.3333333333333333,US9453244,48.5085,4.09529
6o32a14f4j1u5b105r4t81e3k2y2f2k4j5i34,Saint Vrain,FR,0.3333333333333333,US9453244,48.69421,4.80309
4g14i3b4h6f3i363m5m1ar1z414o6g356x323e,"Somerville, MA",US,0.3333333333333333,US9458357,42.3875968,-71.0994968
4g14i3b4h6f3i363m5m1ar1z414o6g356x323e,"Newton, MA",US,0.3333333333333333,US9458357,42.3300435,-71.194862
4g14i3b4h6f3i363m5m1ar1z414o6g356x323e,"Champaign, IL",US,0.3333333333333333,US9458357,40.1164841,-88.2430932
3n643m2434325v294fa6n50q3d4k4x6w14q1h,"Sakyo-ku, Kyoto-shi, Kyoto",JP,0.6666666666666666,US9458466,35.0485352,135.7783697
3n643m2434325v294fa6n50q3d4k4x6w14q1h,Kyoto-shi,JP,0.3333333333333333,US9458466,35.0115754,135.7681441
25105q3i3f696e337193h2j314b501y5h2055j,San Giovanni la Punta,IT,0.2,US9470733,37.5774071,15.094215
25105q3i3f696e337193h2j314b501y5h2055j,Aci Catena,IT,0.2,US9470733,37.60257,15.1419604
25105q3i3f696e337193h2j314b501y5h2055j,"San Diego, CA",US,0.4,US9470733,32.7174202,-117.162772
25105q3i3f696e337193h2j314b501y5h2055j,Leonforte,IT,0.2,US9470733,37.6392121,14.3924267
1hx4s15u4n2n3gxw28i1w11621jf3z3cz,"Brookline, MA",US,0.5,US9476089,42.332918,-71.1187829
1hx4s15u4n2n3gxw28i1w11621jf3z3cz,"Cambridge, MA",US,0.5,US9476089,42.3656347,-71.1040018
5x1p5k11g4t6x6o92s391o393i1q645o5m5b4t,"ALBUQUERQUE, NM",US,0.75,US9476090,35.0841034,-106.650985
5x1p5k11g4t6x6o92s391o393i1q645o5m5b4t,"SANTA FE, NM",US,0.25,US9476090,35.6876096,-105.938456
31k302z553w216f2b315w111n6a625t3j5i1416,"Middleton, WI",US,0.5,US8742333,43.0962919,-89.5119565
31k302z553w216f2b315w111n6a625t3j5i1416,"Madison, WI",US,0.5,US8742333,43.07469,-89.3841663
6e3b181q606j6b5e14d2mk1b4b4a46h1t6j6w,"Reston, VA",US,0.25,US9490113,38.953282,-77.3464516
6e3b181q606j6b5e14d2mk1b4b4a46h1t6j6w,"Washington, DC",US,0.5,US9490113,38.8950982,-77.0363849
6e3b181q606j6b5e14d2mk1b4b4a46h1t6j6w,"Knoxville, TN",US,0.25,US9490113,35.9603948,-83.9210261
4m1f422l2z2l6z2ej5b2y4n5d6i275z1o5p2r24,"La Jolla, CA",US,0.5,US9499407,32.8458529,-117.2575702
4m1f422l2z2l6z2ej5b2y4n5d6i275z1o5p2r24,"San Diego, CA",US,0.5,US9499407,32.7174202,-117.162772
634j591t4n72o3fd3g2m1y46y6x5w5o3w185t,"Madison, WI",US,0.75,US7615374,43.07469,-89.3841663
634j591t4n72o3fd3g2m1y46y6x5w5o3w185t,"Verona, WI",US,0.25,US7615374,42.9905492,-89.5335575
346346483s3a1vmk2x455q6u716u2a1t6i6w3d,"Lexington, MA",US,0.5,US7786072,42.4473175,-71.2245003
346346483s3a1vmk2x455q6u716u2a1t6i6w3d,"Somerville, MA",US,0.5,US7786072,42.3875968,-71.0994968
211h112u5a05j1d40524zo335x35515b5b1s24,"Dublin, OH",US,0.1111111111111111,US9512073,40.0996009,-83.1135563
211h112u5a05j1d40524zo335x35515b5b1s24,"Boston, MA",US,0.1111111111111111,US9512073,42.3588336,-71.0578303
211h112u5a05j1d40524zo335x35515b5b1s24,"Newton, MA",US,0.1111111111111111,US9512073,42.3300435,-71.194862
211h112u5a05j1d40524zo335x35515b5b1s24,"Framingham, MA",US,0.1111111111111111,US9512073,42.2773177,-71.4165905
