part_name,pmcid,doi,year
BBa_J64997,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_K515105,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_J72163,PMC13049924,10.1016/j.jbc.2026.111309,2026
BBa_J23109,PMC13042605,10.1002/advs.202521440,2026
BBa_J23113,PMC13042605,10.1002/advs.202521440,2026
BBa_J23115,PMC13042605,10.1002/advs.202521440,2026
BBa_R0010,PMC7618913,10.1021/acssynbio.3c00333,2023
BBa_J23118,PMC12519201,10.1073/pnas.2509568122,2025
BBa_B0034,PMC13035840,10.1038/s41467-026-69334-y,2026
BBa_J23100,PMC12930508,10.1021/acssynbio.5c00786,2026
BBa_J23105,PMC12930508,10.1021/acssynbio.5c00786,2026
BBa_J23111,PMC12930508,10.1021/acssynbio.5c00786,2026
BBa_K243006,PMC12930430,10.1158/1541-7786.MCR-25-0624,2026
BBa_B1006,PMC12915315,10.1128/aem.01839-25,2026
BBa_B0010,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0015,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0030,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0031,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0032,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0034,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B1006,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_C0012,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_C0040,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_E1010,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_I13521,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23100,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23101,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23103,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23112,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23113,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23116,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23117,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_J23118,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_R0011,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_R0051,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_R0062,PMC12852451,10.3389/fsysb.2025.1668595,2026
BBa_B0012,PMC12851924,10.1038/s41586-025-09971-3,2026
BBa_K864401,PMC12892944,10.1128/mbio.03065-25,2026
BBa_B0015,PMC12823268,10.1099/mic.0.001655,2026
BBa_B0034,PMC12822097,10.1186/s13036-025-00600-1,2025
BBa_J23106,PMC12767563,10.1002/cssc.202502560,2025
BBa_B1001,PMC12809395,10.20517/evcna.2025.32,2025
BBa_B1007,PMC12809395,10.20517/evcna.2025.32,2025
BBa_B0030,PMC12786678,10.1021/acssynbio.5c00606,2026
BBa_B0032,PMC12786678,10.1021/acssynbio.5c00606,2026
BBa_B0034,PMC12786678,10.1021/acssynbio.5c00606,2026
BBa_B0034,PMC12724604,10.64898/2025.12.17.694918,2025
BBa_K1890030,PMC12724604,10.64898/2025.12.17.694918,2025
BBa_J23119,PMC12678401,10.1038/s41522-025-00854-z,2025
BBa_K314100,PMC12742742,10.1371/journal.pgen.1011707,2025
BBa_K112122,PMC12738073,10.21769/BioProtoc.5549,2025
BBa_B1001,PMC12751083,10.1042/BCJ20253340,2025
BBa_B1007,PMC12751083,10.1042/BCJ20253340,2025
BBa_J23114,PMC12663086,10.1093/nar/gkaf1198,2025
BBa_J23119,PMC12667848,10.1101/2025.11.18.689055,2025
BBa_B0015,PMC12617271,10.1002/pro.70340,2025
BBa_B0034,PMC12617271,10.1002/pro.70340,2025
BBa_J23119,PMC12617271,10.1002/pro.70340,2025
BBa_J23100,PMC12589874,10.1016/j.isci.2025.113715,2025
BBa_J23109,PMC12589874,10.1016/j.isci.2025.113715,2025
BBa_B0030,PMC12638906,10.1038/s41467-025-65119-x,2025
BBa_B0031,PMC12638906,10.1038/s41467-025-65119-x,2025
BBa_B0032,PMC12638906,10.1038/s41467-025-65119-x,2025
BBa_B0034,PMC12638906,10.1038/s41467-025-65119-x,2025
BBa_B0034,PMC12622784,10.1371/journal.pgen.1011935.r005,2025
BBa_J107125,PMC12649884,10.3390/bios15110716,2025
BBa_B0030,PMC12591173,10.1002/advs.202507740,2025
BBa_B0031,PMC12591173,10.1002/advs.202507740,2025
BBa_B0032,PMC12591173,10.1002/advs.202507740,2025
BBa_J23100,PMC12529458,10.1002/bab.2735,2025
BBa_J23105,PMC12511318,10.1038/s41598-025-22967-3,2025
BBa_B0010,PMC12513457,10.1126/sciadv.adw8278,2025
BBa_B0035,PMC12513457,10.1126/sciadv.adw8278,2025
BBa_K1676100,PMC11611649,10.1016/j.ymben.2024.09.008,2024
BBa_B1006,PMC12508785,10.1111/1751-7915.70226,2025
BBa_B0031,PMC12455656,10.1021/acssynbio.5c00412,2025
BBa_J23100,PMC12455656,10.1021/acssynbio.5c00412,2025
BBa_J23106,PMC12455656,10.1021/acssynbio.5c00412,2025
BBa_J23107,PMC12455656,10.1021/acssynbio.5c00412,2025
BBa_J23104,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23105,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23107,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23113,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23114,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23115,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_J23117,PMC12492688,10.1016/j.synbio.2025.09.007,2026
BBa_B0030,PMC12478552,10.1021/cbe.5c00015,2025
BBa_B0032,PMC12478552,10.1021/cbe.5c00015,2025
BBa_J23101,PMC12478552,10.1021/cbe.5c00015,2025
BBa_J23119,PMC12445707,10.1016/j.tcsw.2025.100151,2025
BBa_B0034,PMC12416320,10.1021/acssynbio.5c00390,2025
BBa_B0034,PMC12424062,10.1111/1751-7915.70148,2025
BBa_J72090,PMC12358690,10.1002/mbo3.70047,2025
BBa_K4190012,PMC12342014,10.3389/fsysb.2024.1283371,2024
BBa_K4190013,PMC12342014,10.3389/fsysb.2024.1283371,2024
BBa_B0014,PMC12342043,10.3389/fsysb.2024.1270071,2024
BBa_B0034,PMC12342043,10.3389/fsysb.2024.1270071,2024
BBa_J23100,PMC12342043,10.3389/fsysb.2024.1270071,2024
BBa_K3484001,PMC12342043,10.3389/fsysb.2024.1270071,2024
BBa_K3484003,PMC12342043,10.3389/fsysb.2024.1270071,2024
BBa_E0040,PMC12342280,10.1371/journal.pone.0328521,2025
BBa_B0015,PMC12390103,10.3390/toxins17080360,2025
BBa_B0032,PMC12390103,10.3390/toxins17080360,2025
BBa_E1010,PMC12390103,10.3390/toxins17080360,2025
BBa_J23119,PMC12390103,10.3390/toxins17080360,2025
BBa_K516032,PMC12390103,10.3390/toxins17080360,2025
BBa_J23100,PMC12342019,10.3389/fsysb.2023.1240040,2023
BBa_J61051,PMC12342019,10.3389/fsysb.2023.1240040,2023
BBa_J23100,PMC12341994,10.3389/fsysb.2025.1620608,2025
BBa_J34801,PMC12341994,10.3389/fsysb.2025.1620608,2025
BBa_J23117,PMC12370623,10.1093/nar/gkaf818,2025
BBa_J23119,PMC12370623,10.1093/nar/gkaf818,2025
